"DP02_0015E","DP02_0016E","DP02_0066PE","DP02_0067PE","DP02_0071PE","DP02_0079PE","DP02_0088PE","DP02_0092PE","DP02_0101PE","DP02_0112PE","DP03_0005PE","DP03_0007PE","DP03_0009PE","DP03_0021PE","DP03_0025E","DP03_0062E","DP03_0063E","DP03_0096PE","DP03_0097PE","DP03_0098PE","DP03_0099PE","DP03_0128PE","DP04_0046PE","DP04_0047PE","DP05_0017E","DP05_0032PE","DP05_0066PE","ZCTA5"
3.11,3.5,94.3,40.1,8,96.2,96.6,2.2,0,5.5,3,38.3,4.8,7,34.3,115402,130470,96.7,90.8,15.5,3.3,5.2,89.8,10.2,41.9,97.4,4.5,11730
2.94,3.35,95.3,46.5,7.9,96.1,89.2,9.9,7.1,12.8,4.9,33.8,7.4,8.7,33.3,99360,118137,95.1,84.4,25.3,4.9,3.4,87.4,12.6,43.1,91.7,6.8,11731
2.57,3.22,93.4,57,7.3,94.3,88.8,9.5,1.1,16.3,3.9,36.2,6.1,10.9,35.9,116125,156496,97.9,90.6,23.8,2.1,3.3,71.4,28.6,47.1,96.8,13.3,11732
2.9,3.26,96.2,58,5.5,93,83.3,15.7,13.5,19,3.3,34.3,5,5.8,31.2,129358,164421,97.2,90.2,19.8,2.8,3.4,94.2,5.8,44.9,84.7,4.6,11733
2.93,3.45,92,34.5,8.8,93.9,83.4,15.3,4.5,19.6,3.9,32.4,5.8,10.5,30.3,91156,104188,94.1,83,22.9,5.9,4.6,80.7,19.3,41.2,82.6,15,11735
3.28,3.6,92.7,23.3,7.3,96.4,86.2,11.4,5.7,20.6,3.2,33,4.8,4.3,32.6,94522,110357,90.3,79.2,22.1,9.7,5.3,85.6,14.4,39.3,89.2,15.2,11738
2.92,3.32,97.3,48.3,9.6,96.5,92.7,7.3,7.4,4.9,3.8,41.6,6.4,8.5,28.7,129464,159114,96.6,90.6,21.1,3.4,3.7,95.7,4.3,46.5,94.8,4.4,11739
2.79,3.58,95.5,48.7,9.2,96.1,86.5,11.5,2.3,11.4,4.4,38.2,7.1,9.2,31.5,89102,118116,96.3,84.9,27.3,3.7,3.3,77.8,22.2,44.1,85.4,4.9,11740
3.07,3.49,93.6,31.9,8.7,94.3,93.3,5.9,2.2,10.1,4.4,28.5,6.2,6.2,32.4,100133,116012,93.9,85.5,21.2,6.1,2.6,79.9,20.1,41.1,91.7,10.7,11741
2.91,3.37,93.1,32.1,9.8,95.7,90,8.4,3.5,15.6,4.8,30.4,6.9,5.1,34.1,86381,105948,94.6,85.6,20.8,5.4,5.7,79.6,20.4,40.3,90.2,11.8,11742
2.79,3.28,94.5,56.1,6.9,94.9,87.2,11.9,6.7,14.5,3.3,35.1,5,12.7,35,113750,164163,95.5,85.6,21.5,4.5,5.6,85.4,14.6,45.2,85,9.9,11743
3.24,3.59,86.9,42.7,7.2,94,77,21.3,4.8,31.3,4.7,34.2,7.1,10.4,31.5,99414,131392,89.5,75.2,25.1,10.5,9.2,82.3,17.7,39.8,72.1,22.3,11746
2.65,3.09,96.3,55.2,9.1,94.6,87.9,11.2,0.5,12.5,2.3,40.4,3.9,9.3,32.4,117288,166583,98.3,87.6,29.5,1.7,4.3,87.9,12.1,49.2,86.5,5.5,11747
3.37,3.88,87.5,25.3,7.6,94.6,70.5,25.4,7.6,38.3,2.2,33.1,3.4,5.3,29.2,87976,101948,91.2,71.1,27.9,8.8,3.6,87.9,12.1,44.1,69.1,29.1,11749
2.79,3.4,93.7,34,10.2,94.5,90.9,8,7.1,10.9,3.4,33.2,5.1,7.8,32.6,95191,117386,95.9,84,25,4.1,3.9,82.1,17.9,43.2,93.6,11.5,11751
3.19,3.55,94.4,26.4,7.5,95,89.3,8.7,8.9,14.3,4.2,30.6,6,5.7,30.1,100108,107963,95.6,88.3,21.4,4.4,4.7,87.4,12.6,42.4,90.5,11.8,11752
2.88,3.2,96.8,71.8,5.6,94.9,75.2,23.8,12.3,31.5,2.2,36.9,3.4,15.6,36.6,145947,200134,96.8,90.6,19.5,3.2,4.1,87.7,12.3,44.3,67.2,1.5,11753
2.85,3.38,93.5,41.1,10.1,94.4,91.6,6.8,4.2,9.6,5.3,36.5,8.3,8.7,34.3,100101,119594,95.8,84.3,26.6,4.2,5.8,82.3,17.7,43.8,93.1,6.1,11754
3.02,3.48,93.5,38.1,7.7,95.5,84.5,14.8,2.2,16.4,3,34.1,4.6,8.9,34.6,96654,113728,93.1,84.1,20.2,6.9,8.7,82.6,17.4,38.9,88.5,10,11755
3.13,3.49,91.9,30.8,10.7,95.3,86,12.9,6.5,17.5,4.3,31.7,6.2,11.7,32.2,100773,109731,96,86.6,22.3,4,3.3,91.1,8.9,41.2,85.1,13.2,11756
3.01,3.5,89.2,23.5,9.3,93.3,80.6,17.9,2.4,24.6,4.6,31.7,6.8,9,33.4,81330,93603,90.6,76.1,25.2,9.4,6.5,76.8,23.2,40.2,90.7,15.2,11757
3.05,3.46,94.1,36.6,9.4,96.1,89.5,9.7,2.2,13,3.4,33.7,5.1,12.6,34.8,104128,124850,95.6,85,24.1,4.4,3.9,89.4,10.6,42.9,89.4,9.9,11758
3.1,3.46,96.7,38.8,10.1,97.2,93.8,5.2,5.4,7.5,5,34.1,7.5,11.8,36.8,112083,123281,96.6,88.6,21.2,3.4,2.8,96.9,3.1,42.7,96.4,7.8,11762
3.14,3.67,87.8,24.6,9.5,93.8,84.3,13.8,13.9,25.4,2.9,36.5,4.5,3.5,32.3,85450,95896,91.6,76.9,29.3,8.4,7.4,80.4,19.6,37.8,82.3,25.7,11763
3.01,3.35,97.6,46.7,6.9,96.2,92.7,7,1.2,11.3,4.5,30.3,6.4,4.4,37.2,109153,127017,98.4,88.5,20.7,1.6,4.9,94.4,5.6,38.9,91.5,5.4,11764
2.73,3.01,97.8,66.7,5.3,95.6,85.9,13.3,13,17.1,1.4,40.1,2.3,9.8,32.8,137500,315142,96.3,88.2,23.2,3.7,4.8,83.3,16.7,49.3,87,6.8,11765
2.93,3.42,93.7,42.4,8.1,97.5,90.1,9,0.9,15,2.1,36.7,3.2,4.5,36,111397,129221,96.8,87.3,25.2,3.2,6.8,93.5,6.5,41.7,92,10.9,11766
3.13,3.5,92.6,40.1,5.7,94,88.9,10.6,1,12.2,2.9,32.3,4.3,5.1,33.7,119319,133087,97.1,89.2,18.7,2.9,3.2,89.3,10.7,41.2,91.4,6,11767
2.72,3.14,97.6,56.7,8,91.4,92.7,6.8,3.9,7.6,4.4,36.1,6.9,9.8,35.8,117023,150756,97.1,88.2,24.3,2.9,4.5,84.1,15.9,47.2,94.5,3.3,11768
2.58,3.16,94.1,33.4,13.1,94.7,93.6,6.2,13.3,8.7,3.6,39.9,6,7.6,34.7,86000,105568,95.4,83.4,27.6,4.6,3,86.9,13.1,46,95.1,5.7,11769
2.79,3.4,98.5,68.2,1.1,97.9,93.7,6.3,0,5.8,2.9,25,3.9,2,23.8,148750,146056,94.7,89.5,18.9,5.3,1.1,100,0,36.7,95.8,0,11770
2.75,3.28,94.2,57,9.4,92.2,86.5,12.4,3.5,16.8,2.9,34.7,4.4,9.5,30.5,118264,202010,95.5,85.8,24.6,4.5,3.2,79.3,20.7,43.7,88.2,4.9,11771
2.68,3.35,86.5,23.8,10.6,93.6,84.4,14.6,7.7,26.2,4.4,35.6,6.8,4.3,29.6,68077,82362,87.1,73.5,28.7,12.9,11.9,62,38,38.8,89.3,27.3,11772
3.19,3.77,90.9,35.5,9.4,94.2,82.7,16.1,6.4,20.9,5.4,31.7,7.8,3.6,33,92280,105650,93.7,79.5,26.7,6.3,8.7,80.9,19.1,40,89.9,20.1,11776
2.45,2.95,98.4,61.5,7.6,90.9,85.4,14,12.5,16.1,3.8,36.1,5.9,5.3,31.3,112660,145072,96,87.3,27.1,4,5.1,75.6,24.4,47,89,6.5,11777
2.88,3.43,94.4,34.4,11,93.2,93.9,5.2,3.2,10.7,7.3,27.5,10.1,3.9,39.2,90658,100827,92.9,78.9,24.4,7.1,5.8,85.1,14.9,37.9,95.8,9.8,11778
2.89,3.42,92.1,28.2,11.1,93.1,88.7,10.2,4.3,16.1,5.1,32.2,7.5,5,30.4,85972,95679,92.4,80,24.7,7.6,5.6,75.5,24.5,40.5,91,10.5,11779
2.87,3.35,94.4,46.7,9.8,91.3,93.9,5.9,3.1,12,3,37.9,4.9,5.5,30.8,107170,145996,96,89.9,22,4,3.9,88.3,11.7,45.5,91.9,3.8,11780
2.8,3.35,95.4,46.8,8.3,94.1,95.7,3.7,4.8,5.1,3.4,34.5,5.3,8.4,34.3,110869,128903,96.7,89.9,21.4,3.3,2.5,81.6,18.4,44,95.6,5,11782
3.03,3.46,95.3,38,9.6,95.1,92.2,6.5,1.8,7.1,3.9,33.6,5.9,11,32.9,105915,122222,96.9,89.7,21.2,3.1,2.6,90.3,9.7,42.8,97.4,5.4,11783
3.28,3.64,90.8,25.2,10.2,93.3,86.7,12.2,4,19.6,4.8,31.7,7,4.3,33.6,89699,93273,92.3,74.1,26.5,7.7,6.8,82.8,17.2,37.7,88.9,16.2,11784
3.22,3.49,96.6,44.8,5.7,91.9,92.2,6.8,6.4,7.6,5.1,27.8,7.1,4.1,37.8,121875,136323,97.4,90.2,18.1,2.6,2.9,93.7,6.3,42.3,95.9,8.1,11786
2.93,3.38,95.5,45.9,9.2,94.6,92.4,6.5,3.1,11,3.9,35.4,6.1,5.8,32.2,111961,129847,96.4,89.1,20.9,3.6,3.7,87.3,12.7,44.2,92.4,4.4,11787
2.88,3.33,95.7,44.1,8.2,93.6,87.4,10.5,10.4,15.1,3,35.3,4.6,6.3,31.2,105019,117103,97.3,87.8,22.6,2.7,3,81.1,18.9,43,89,8.6,11788
3,3.52,94.3,36.1,7.8,94.2,91.3,7.8,0,10.7,4.9,25,6.5,4.4,39,87955,101588,94.4,76.4,26.2,5.6,5.4,88.9,11.1,38.2,96.8,11.8,11789
2.9,3.21,97.8,65.5,6.6,82.7,83.2,15.9,30.9,24.4,4.2,44.5,7.5,7.8,29.3,134536,156905,96.9,89.1,19.5,3.1,6.9,90,10,25.5,73.6,5.9,11790
3.08,3.38,95.7,65.3,7.3,93.5,77.3,21.8,7.5,30.3,2.8,37,4.4,17.9,38.5,151627,209146,96.5,88.9,19.7,3.5,4.5,92.2,7.8,43,72.7,4.5,11791
2.87,3.13,96.4,41.1,7.7,93.3,92.4,6.8,5.5,10.1,1.7,33.5,2.5,1.3,30.9,120997,133224,96.8,91.1,17,3.2,3.8,93.8,6.2,41.3,96.6,8,11792
3.08,3.48,94.9,42.9,8.3,96.6,92.2,7.1,1.9,8.3,3,35.5,4.6,13.2,34.4,113481,137839,97.7,90.2,21.8,2.3,2.3,94.2,5.8,43.3,93.7,6.7,11793
NA,NA,100,94.4,5.9,53.6,70.6,28,45.4,59.8,4.8,66.8,14.4,11.2,17.1,NA,NA,98.1,81.8,17.8,1.9,NA,NA,NA,20.1,33.5,12.2,11794
3.07,3.46,94.3,36.9,9.5,94.8,93.7,5.6,3.5,9.6,3.5,31.2,5.1,7.2,30.7,110815,124830,96.1,88,19.4,3.9,3.8,94.7,5.3,42.8,94.9,7,11795
2.87,3.42,90.9,34.1,9.5,93.6,95.9,3.6,0,7,8.4,38.2,13.6,7.9,36.6,104236,118922,94.6,86.2,18.1,5.4,3,82.8,17.2,46.3,96.6,3.8,11796
2.57,3.05,94.9,64,8.8,93.1,81.9,17.4,4.5,20.7,2,45.1,3.7,19,38.6,157216,233281,98.7,92,23.4,1.3,3.9,87.2,12.8,51.2,87.1,2.7,11797
3.91,4.12,81.1,21.5,11.9,95.5,74.8,24.2,7.9,28.9,6.3,33.5,9.5,10.6,29.3,70343,84621,85,60.7,33.1,15,14.5,70,30,32.4,19.7,25.4,11798
3.14,3.49,90.6,35.4,8.8,94.9,72,27,5.5,34.1,4,34.4,6.1,11.9,33.4,93759,112040,93.4,80.3,25.6,6.6,4.4,85.1,14.9,43.4,70.6,12.9,11801
2.95,3.32,95.6,59.9,7.8,95.5,82.9,16.4,4.8,21.1,2.8,35.2,4.3,14.6,36.2,126536,146607,97.4,87.7,24.4,2.6,2.6,93.2,6.8,44,83.3,4.9,11803
2.86,3.3,96.2,62.3,10.1,97.5,90.5,8.9,2.4,7.7,2.9,32.4,4.3,13,32.1,118900,145005,95.9,86.5,23.8,4.1,2.6,90.2,9.8,44.2,92.9,2.2,11804
2.67,3.28,81.1,20.1,12.6,78.8,76.9,20.2,14.1,24.8,3.8,48.7,7.5,3.5,23.7,55450,74287,78.3,56.6,35.6,21.7,12.8,71.3,28.7,40.8,73.1,23.2,11901
2.44,3.1,94.5,48.9,13.4,97.6,88,12,0,14.8,0,41.8,0,2.5,24.1,86083,129155,94.2,87,34.5,5.8,4.7,80.5,19.5,52.5,98.4,3.2,11930
2,2,100,0,0,100,100,0,NA,0,0,0,0,0,NA,NA,NA,100,100,0,0,0,100,0,NA,100,0,11931
2.09,2.88,95.1,46.6,11.5,100,81,17.9,0,25.1,2.3,42.2,4,2.8,21.5,70461,126195,90,80.2,43.7,10,4,85.6,14.4,55.4,91,23,11932
2.41,3.16,89,27.7,14.7,93.5,90.3,9.7,0,11.8,5,42.7,8.8,1.3,28.7,59605,85860,96.6,83.6,36.5,3.4,5.4,85.7,14.3,49.7,84,8.3,11933
3.24,3.65,90.7,24.7,7.9,95.3,94,5.3,0,11.3,3.5,38.9,5.8,0.8,29.5,90080,111827,95,83.6,22.5,5,2.6,86.6,13.4,39.8,96.9,9.5,11934
2.42,2.79,94.3,45.9,11.8,92.1,88.8,10.2,36.3,12,3.3,44.9,6,5.6,32.5,86125,107378,95.2,84.6,38.9,4.8,3.3,91.6,8.4,51.5,95.7,2.2,11935
2.37,2.96,92.8,48.3,8.4,94.8,79.2,19.8,1,26,4.3,35.2,6.6,8.3,24.8,84847,136967,88.2,76.6,29,11.8,8.2,81,19,49,90.1,18.4,11937
1.98,2.48,93.1,35.1,18.6,92,85.9,13.1,0,14.5,8.1,49,15.9,3.5,31.9,72500,90271,85.8,68.7,46.8,14.2,1.6,89.8,10.2,62.4,96.8,3.6,11939
2.75,3.15,96.7,34.5,8.2,96.3,97.6,2.1,0,5.4,3.3,34.2,5,2.8,34,96607,115880,94.5,86.6,18.1,5.5,5.8,76.2,23.8,42.2,96.5,5,11940
2.57,2.92,94.4,34.1,14.2,94.8,90.1,9.9,0,13.2,2.8,40.8,4.8,2.3,31.2,102135,106482,90.7,77.4,32.7,9.3,8.4,72,28,46.9,99.1,15,11941
2.67,3.13,96.3,40.5,8.3,97,93.6,5.8,6.9,7.3,2.1,40.3,3.4,4.2,29.4,88784,113924,95.7,85.5,25.5,4.3,3.4,86.4,13.6,45.2,93.9,4.4,11942
2.22,2.95,87.2,35.7,12.9,88.1,83.5,15.3,1.4,19.3,4.4,50.3,8.8,4.9,23.7,56029,82529,85.9,67.9,44.8,14.1,16.3,64.9,35.1,50.2,89.7,16.5,11944
2.59,3.08,90.2,32.6,9.5,93.9,72.5,27.1,9,33.9,2.1,38.2,3.3,5.1,30.4,75670,94292,80.8,62.3,32.1,19.2,6.6,71.6,28.4,42.4,94.3,29,11946
1.41,2.06,100,27.2,14.9,100,100,0,NA,0,0,28.9,0,0,NA,NA,56414,100,100,72.8,0,0,100,0,65.5,100,0,11947
2.63,2.96,100,43.3,11.1,100,93.7,2.5,0,21.6,3,47.1,5.8,9.7,26.6,103112,129135,91.2,61.9,45.7,8.8,2.5,93.5,6.5,49.6,100,0,11948
2.98,3.54,95.7,36.4,7.4,94.3,95.4,4,12.3,6.3,2.7,36.9,4.3,0.7,31.5,105279,112353,94.9,86.2,19.2,5.1,4.8,86.3,13.7,39.2,95.3,5.6,11949
3.41,3.79,86.3,13.2,9.3,96,84.9,12.4,9.3,23.1,3.7,35.3,5.7,2.4,31.3,71088,78660,86.8,65.2,33.8,13.2,13,78.9,21.1,35.2,81.8,22.1,11950
2.9,3.29,86.6,14.9,10.6,97.3,92.4,6.8,7.7,16.4,6.6,31.9,9.7,1.9,38.7,63043,74095,88.8,71,28.6,11.2,14.2,71.9,28.1,37.2,83.5,17.8,11951
2.42,2.77,94,40,13.3,95.3,91.2,7.1,5.2,13.6,7,31.9,10.2,2.2,25.6,74313,103499,92.1,79.5,30.4,7.9,3.2,79.1,20.9,49.4,94,3.4,11952
2.39,3.06,94,29.3,12.3,90.5,87.2,11.1,4.6,12.6,5.4,37.6,8.7,2.9,35.9,70829,80561,93.9,71.4,37.6,6.1,10.4,73.7,26.3,42.6,77.8,10.7,11953
1.96,2.59,95.2,39.3,10.9,90.1,85.2,13.9,2.1,16.3,3,42.5,5.2,5.7,26.7,72903,93491,89.1,78.4,32.4,10.9,12.6,78.5,21.5,54.4,92.6,9.9,11954
2.11,2.55,89.3,29.6,9.4,92.7,92.2,7.8,0,12.2,3.1,34.5,4.7,1.3,30.5,61667,81713,89.6,80.8,29.5,10.4,5.4,49.1,50.9,48.6,82.9,3.1,11955
1.86,2.3,84.5,49.1,13.2,89,81.9,18.1,14.3,12.6,6.3,32.9,9.3,1.1,22.7,NA,89750,84.5,71.9,37.7,15.5,13.2,71.9,28.1,59.2,98.1,8.4,11956
1.95,2.37,97.1,42,16.1,98.2,95.8,1.6,0,5.8,2.2,58.2,5.2,7.6,28.1,75375,95914,98,87.7,55.4,2,1.8,91.8,8.2,66.3,98.7,1.8,11957
1.86,2.85,85.6,45.4,16.3,96.6,86.6,11.6,0,7,5.3,47.6,10.1,5.6,18,65288,152033,97.1,78,53.1,2.9,0,94.5,5.5,57.6,100,0,11958
2.21,2.46,98,58.3,7.2,99.6,93.8,4.3,0,6.1,1.1,50.4,2.2,9.2,37.4,85125,126459,93.7,81.4,30.6,6.3,6.2,82,18,56.7,95,3.7,11959
1.98,2.38,100,54.3,2.7,97.7,89.8,10.2,0,5,3.5,34.6,5.4,4.3,26.2,103151,104623,96.1,89.6,42,3.9,3.4,89,11,58.6,100,7.5,11960
2.32,3.04,91.2,22.1,17.8,93.8,92.6,6.2,7.7,6.9,3.4,47.2,6.4,2,28.9,56236,76035,97.5,82.2,38.7,2.5,6.6,85.2,14.8,50.8,90.3,5.5,11961
2.52,3.07,100,55.4,2.2,99.5,94.2,2.9,0,1.9,0,51,0,2.4,15.2,209125,247372,92.8,88.2,23.6,7.2,0.5,97,3,46.9,97.6,0.2,11962
2.44,3,92.2,52.6,7.4,96,74.8,23.5,5.1,24,2.7,33.7,4.1,7.6,25.3,86111,142997,84.7,69.1,30.2,15.3,8.8,82,18,48.1,90.7,18.8,11963
2.49,2.87,98.8,53.3,5.4,99.1,92.2,7.2,4.5,10.5,2.8,38.7,4.7,6.1,24.5,79091,132813,93.9,85.2,29.4,6.1,1.4,88.9,11.1,48.3,96.1,3.9,11964
2.38,2.78,100,66.2,13.2,99.2,99.4,0.6,0,5.2,0,48.4,0,15.5,37.9,101771,136538,97.8,91.5,38.6,2.2,0,83.9,16.1,47.8,98.5,0,11965
3.4,3.68,87.4,15.8,9.6,92.8,84.2,15,4,23.8,3.6,32.8,5.4,4,32.6,82682,88970,89.5,69.8,29.8,10.5,10.4,81.9,18.1,36.3,80.9,17.9,11967
2.36,2.97,93.1,45,8,92.6,80.3,19.2,5.1,22.1,4.3,42.3,7.4,7.6,25.8,82024,136625,87.4,75.7,30.8,12.6,8.6,74,26,50.4,82,9.2,11968
1.89,2.74,100,49.6,0,100,100,0,NA,0,23.6,12.7,27,0,NA,NA,122136,81.7,81.7,10.6,18.3,0,86,14,54.8,100,0,11970
2.37,2.76,97.3,35.5,10.3,95.9,93,5.5,0,3.3,4.3,40.5,7.2,5.4,35.4,89074,120836,97,90.5,35,3,4.8,87.3,12.7,55.1,97.8,2.3,11971
2.45,3.2,97.9,46.8,2.8,93.6,88.9,9.1,0,21.8,0.8,32.1,1.2,0,24.2,104444,126131,81.9,70.6,17.5,18.1,12.5,83.2,16.8,45.9,82.6,7.2,11972
NA,NA,100,100,0,50,60.9,39.1,100,84.8,13,63,35.3,0,12.7,NA,NA,100,100,0,0,NA,NA,NA,20.9,13,6.5,11973
2.02,2.51,98.9,62,13.2,87.8,81.1,18.1,0,15.1,3.2,59.9,8,7.1,28.6,79250,107635,96.7,87.1,42.9,3.3,17.9,87.2,12.8,57,90.2,10.9,11975
2.29,2.6,94.4,54,8.5,97.7,77.8,22.1,0,21.6,1.3,32.1,1.9,11.2,22.8,115547,186467,86.9,78.3,22.1,13.1,6.4,90.5,9.5,55.3,94.2,13.1,11976
2.53,3.1,95.9,46.1,8.2,91.9,88.8,10.9,11.6,13.8,5.9,48.3,11.5,4.7,21.8,97045,123793,91.2,76.6,33.5,8.8,9.4,83.3,16.7,52.3,96.4,7.5,11977
2.35,2.88,95.5,47.1,12,90.2,84.2,15.5,1.2,18.2,5.3,39.9,9,4.8,26.8,83203,126990,91.5,77.2,30.8,8.5,10,76.1,23.9,47.6,90.9,16,11978
2.69,3.06,90.5,30,8.6,82.9,91.5,7.8,2.4,12.3,2.5,43.8,4.5,2.2,31.8,90313,103092,94.2,82.1,23.9,5.8,4.7,85.1,14.9,41.7,87,11.3,11980
2.13,2.13,100,0,0,100,100,0,NA,0,0,100,NA,NA,NA,NA,NA,100,100,100,0,0,100,0,NA,100,0,12007
2.97,3.27,94.4,47.2,5.1,85.7,89.3,6.6,55,17.2,10.3,40.8,17.3,0,17.8,93250,98016,99.8,89.9,24.3,0.2,1,96.5,3.5,40.1,90.4,8.6,12008
2.61,3.08,96.2,38.3,10.3,91.7,93.8,5.5,9,4.5,5.2,32,7.6,1.4,24.4,89605,99866,96.5,84.3,27.8,3.5,5.4,78.6,21.4,42.5,95,1.7,12009
2.41,3.02,84.2,17.8,16.8,86.8,89,4,8.6,17.9,5.2,40,8.6,2.1,24.7,44711,59105,93.6,63.7,45.1,6.4,19.4,63.1,36.9,41.2,84.3,19,12010
2.76,3.62,87.8,23.1,12.6,91.7,96.4,3.1,5.7,10.8,9.4,38.1,15.2,1.8,27.4,58533,70250,93.5,70.4,38.2,6.5,12.4,76.3,23.7,46.6,96.6,13.2,12015
2.48,2.97,97.5,31.1,6.2,97.2,92.9,3.1,0,5.6,4,28.6,5.6,1.8,19.9,62917,80173,96.3,74.9,33.4,3.7,4.3,95.4,4.6,49.2,100,0.6,12017
2.65,3.06,94.1,30.5,9,95.1,97.9,1.8,0,2.4,2.8,28,3.9,0.4,28.6,81205,101640,96.9,89.9,23.1,3.1,2.5,85.4,14.6,43.9,98.7,1,12018
2.57,2.97,96.6,44.9,7.2,92.9,94.7,4.7,12.2,4.6,3.6,31.1,5.3,1.4,25.9,88059,103850,97,89.2,25.3,3,3,78.3,21.7,44.4,93.4,1.2,12019
2.53,3.02,95.2,36.9,11.2,88.1,95.4,3.5,19.8,5.6,5.1,28,7.3,0.6,25.9,73712,83911,95.7,80.9,29.1,4.3,6.9,75.3,24.7,40.1,95.8,2.4,12020
2.23,2.88,89,23.1,17.2,92.7,100,0,NA,0.6,4.6,41.4,7.8,0,37.3,51719,64406,93,85.2,35.9,7,4,81.6,18.4,50.3,98.7,0,12022
2.55,3.05,91.8,28.6,8.9,93.8,97.4,2.6,0,4,4.1,38,6.6,2.4,37.1,61488,74058,93.3,78.8,29.9,6.7,6.6,93.4,6.6,45.5,97.8,0.2,12023
3.54,1.85,100,0,12,100,100,0,NA,0,0,48,0,0,NA,NA,NA,85.9,28.3,71.7,14.1,0,100,0,42.3,100,0,12024
2.39,2.87,91.7,14.5,12.7,89.6,97.9,1,0,2.2,5.6,35.4,8.7,0.8,27.7,58923,70108,95.8,73.9,35.1,4.2,10.8,80.4,19.6,44.8,95.4,1.9,12025
2.59,3.06,98.7,57.6,9.4,93.6,97.3,1.9,0,1.1,4.9,34.9,7.5,1,28.3,86656,102797,98.2,87.3,26.1,1.8,0.6,85.1,14.9,46.1,97.7,0.6,12027
2.78,3.11,95.3,27.3,7.6,88.3,92.6,7.4,34.3,8.3,3.6,27.5,5,1.7,35.5,81923,100295,99.1,88.9,17.4,0.9,3.6,92.7,7.3,40.4,92.8,2.6,12028
2.38,2.46,86.1,39,16.4,85.3,95.5,4.1,6.5,6.1,4.4,43.9,7.9,1.1,26.4,79000,97324,95.8,78.1,39,4.2,10.6,82.1,17.9,48.1,91.1,4.4,12029
2.64,2.95,80.8,21.2,9.2,78.2,100,0,NA,0,5.9,34.5,9,0,29.3,49167,52900,95.4,63.4,42.5,4.6,15.7,70.7,29.3,30.8,100,2,12031
2.25,2.48,91.2,29.4,8.9,98.2,98.9,1.1,100,0.7,0.8,46.1,1.6,0,26.7,47130,63213,95.6,83.6,41,4.4,8.5,91.3,8.7,52.2,97.5,1.2,12032
2.55,2.95,91.1,31.4,11.7,89.4,98.2,1.5,0,1.8,5.8,35.7,9,0.2,21.7,69733,101151,93.1,80.9,30.1,6.9,3.2,79.1,20.9,46.5,96.5,0.8,12033
2.63,2.91,84.7,11.6,13.6,87.8,97.9,2.1,0,0,6.9,46.3,12.8,0,28.1,37647,57513,93.5,86.8,42.4,6.5,17.9,81.3,18.7,44.7,97.6,0,12035
2.13,3.02,77,14.2,18.9,100,93.9,6.1,0,10.1,11,46.6,20.7,0,32.9,36875,41922,84.2,55.6,41.3,15.8,14.3,88,12,47.5,97.4,18.4,12036
2.44,2.98,93.1,31.8,11.8,88.8,95,4.3,2.2,6.5,3.6,32.9,5.3,2.9,22.4,61188,80172,93.6,76.7,30.2,6.4,8.7,72.8,27.2,46.8,93.1,2,12037
2.75,2.86,91.9,9.5,29.5,91.8,100,0,NA,0,13.8,7.8,15,0,22.5,39063,48940,58.9,50,17.1,41.1,0,100,0,31.1,100,2.7,12040
2.57,3.22,96.7,10.4,2.2,98.4,99.4,0,NA,0.6,3.2,36.9,5,0,25.4,68571,72855,81.2,63.7,22.8,18.8,0.6,100,0,50.2,100,0,12041
1.95,2.34,89,24,24.6,100,96.1,3.9,0,8.4,3.4,40.8,5.7,0,39.9,NA,56232,83.8,66.5,30.2,16.2,14.5,64.1,35.9,52.5,100,0,12042
2.4,3.05,90.1,25.7,12.5,74.4,96.1,3.4,1.7,6.9,6.5,39.3,10.7,1.9,25,49869,63214,94.3,75.4,33.2,5.7,13.8,60.3,39.7,34,91.5,4.5,12043
2.11,2.35,85.3,0,34.3,100,96.7,3.3,0,0,0,50.7,0,7.5,18.8,41250,44240,100,60.2,76,0,8.5,76.9,23.1,45.8,96.7,3.3,12045
2.51,2.87,94,26.7,9.7,92.7,98.1,1.9,0,8.9,9.9,24.5,13.1,2.1,26,80129,84054,95.7,81.6,23.4,4.3,7.4,91.2,8.8,40.6,100,0,12046
2.31,3.07,88.7,23.4,15.9,85.1,93.5,5.7,3,7.8,5.7,33.5,8.6,2,20.6,51313,63862,92.9,69.8,37.1,7.1,15.1,50.2,49.8,39.7,89,5.2,12047
2.7,3.59,69.3,16.7,14.4,90.7,92.2,5.2,8,13.4,1.3,66.9,4,0,27.4,58664,81524,95.5,73.7,35.3,4.5,8.9,69,31,35,74.5,13.3,12051
2.48,2.72,95.3,30.1,10,92.2,96.1,3.1,34,1.8,5.1,31,7.4,0,35.6,66012,80915,90.9,79.5,22,9.1,9.9,79.3,20.7,44.4,92.7,0.1,12052
3.19,3.6,90.5,26.6,12.2,96.5,95.3,4.2,1,2.2,3.5,29.4,4.9,0.2,28.5,80082,90820,95.5,78.7,29.2,4.5,5.7,85.3,14.7,41.6,95.8,2.2,12053
2.55,3.16,97.2,64.2,7.6,90.2,94.6,5.1,10.1,4.7,3.2,29.7,4.6,1.1,19,96813,117243,98.1,91.2,20.3,1.9,3.7,76.8,23.2,42.2,91.8,1.7,12054
3.1,3.37,97,37.7,5.7,98.3,95.4,1.5,0,4.7,5.1,27,7,0.4,25,95714,96471,92.5,87.5,17.5,7.5,4.2,88.8,11.2,44.2,97.7,3.5,12056
