"DP02_0015E","DP02_0016E","DP02_0066PE","DP02_0067PE","DP02_0071PE","DP02_0079PE","DP02_0088PE","DP02_0092PE","DP02_0101PE","DP02_0112PE","DP03_0005PE","DP03_0007PE","DP03_0009PE","DP03_0021PE","DP03_0025E","DP03_0062E","DP03_0063E","DP03_0096PE","DP03_0097PE","DP03_0098PE","DP03_0099PE","DP03_0128PE","DP04_0046PE","DP04_0047PE","DP05_0017E","DP05_0032PE","DP05_0066PE","ZCTA5"
2.4,3.49,77.7,28.5,13.8,87.3,75.5,21.9,12.4,32.5,10.9,34.5,16.6,70.9,37.9,33196,53229,83.8,41.3,48,16.2,29.1,10.5,89.5,34.1,14.7,23.8,10030
2.78,3.7,72.1,30.9,11,87,56.9,40.2,9.6,59.8,7.2,32.3,10.7,77.1,39.2,39774,56924,82.5,43.8,43.3,17.5,25,10.4,89.6,33.8,28.2,52.9,10031
3.05,3.91,68.1,27.9,14.5,86.6,50,45.8,9.2,70.5,8.2,36.7,13,63.7,35.7,37280,52050,83.7,40.6,49.3,16.3,29.4,6.7,93.3,34.2,30.3,68.6,10032
3.02,3.68,70.7,34.1,11.3,88.4,49.7,46.9,11.1,72.2,9.3,32.7,13.8,65.8,40,44933,64437,85.7,46.5,44,14.3,24.9,10.2,89.8,35.8,40.6,68.8,10033
2.8,3.64,72.7,31.9,9.6,89.6,47.9,48.5,11.7,72.9,10.6,32.1,15.7,67.2,43.5,42581,59635,85.2,41.9,50.3,14.8,26.3,9,91,35.5,37.1,74.5,10034
2.4,3.48,65.2,23,17.9,89.1,67.8,25.4,7.7,49.5,5.4,47.9,10.4,74.4,33.7,27424,47759,84.4,38.8,51.1,15.6,39.5,8.2,91.8,35.2,21.3,44.9,10035
1.63,2.63,95.1,72.3,9.9,78.5,65.8,31.6,24.7,31.1,5.2,20.1,6.5,45,26.5,75966,115834,91,75.7,23,9,13.1,10.4,89.6,37,64.6,18.7,10036
2.02,3.24,85.4,38.2,15.9,90.9,82.3,16.3,11.8,26.9,7.3,40.7,12.4,74.8,37.1,35491,50691,91.3,54.9,47.2,8.7,29.1,6.9,93.1,36.1,10.8,23.9,10037
2.04,2.81,83.8,62.3,11.9,76.3,62.4,33.8,14.9,43.8,3.9,35.4,6.1,55.4,25.8,76379,122181,92.7,70.6,29,7.3,19,25.9,74.1,33.6,50.8,14.8,10038
2.48,3.36,78.2,27,14.3,86.8,72,25.7,10.6,38.6,12.9,34.6,19.7,73.2,38.1,33558,52332,87.7,46.5,48.5,12.3,29,12.7,87.3,32.4,12.9,29.6,10039
2.67,3.61,71.5,34.1,9.2,87.4,47.7,48.8,8.2,72.1,7.4,34.2,11.3,70.1,42.2,46200,59397,86.3,46.5,46.6,13.7,21,9.7,90.3,37.8,36.7,70.5,10040
2.17,2.9,88.8,61.3,12.4,80.3,46.2,50.6,27.2,58.1,3.1,42.3,5.4,78.4,37.4,91383,116875,89.4,76.5,18.3,10.6,11.3,12.2,87.8,40.9,53.1,14.6,10044
1.79,2.68,99.1,82.5,7.2,82.8,74.9,23.2,13.6,24.9,2.7,27.5,3.7,37.5,24.8,112869,205447,96.5,87.8,23,3.5,5.8,34.2,65.8,38.7,86.5,5.3,10065
1.94,2.75,99.1,89.8,2.2,74.8,80.1,19.9,41.9,31.6,3.1,19.6,3.8,68.1,30.3,163750,231265,96.9,93,9.6,3.1,7.9,24.6,75.4,34.6,76.8,0,10069
1.78,2.59,97.9,80.7,7.6,83.9,76.6,21,7.4,21.4,3,28.8,4.1,58.4,29.8,111691,205405,96.2,89.2,20.7,3.8,7.8,43.2,56.8,44.1,89.6,7.6,10075
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10103
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10110
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10111
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10112
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10115
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10119
1.93,2.76,95.9,79.4,8.3,85.3,75.7,21.7,17,28.2,3.2,27.7,4.5,65.4,33.6,100200,172532,95.4,84.2,21.8,4.6,7.2,31,69,39.1,81.3,11.3,10128
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10152
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10153
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10154
1.92,3.05,100,89.4,0,93.9,81,19,0,23.1,4.3,19.8,5.4,38,28.3,193510,216132,88.2,88.2,17.6,11.8,0,0,100,44.4,96.4,0,10162
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10165
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10167
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10168
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10170
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10171
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10172
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10173
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10174
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10177
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10199
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10271
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10278
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10279
2.08,2.78,98.8,86.3,2.6,83.3,70.1,27.3,21.3,35.4,4,15.1,4.7,53.3,30.9,145432,193651,95.6,91.2,9.9,4.4,4.6,24.3,75.7,37.2,72.9,10.9,10280
2.35,3.16,99.3,87.2,3.1,78.9,67.6,31.3,22.4,32.8,0.4,22.1,0.5,50.6,23.5,250001,318142,99.7,96.7,5.5,0.3,3.4,8.4,91.6,33,70.5,9.5,10282
2.6,3.38,85.6,33.4,9.8,90.7,76.6,20.6,9.8,28.4,4.9,42.9,8.5,42,43.8,54605,75227,91.7,61,38.8,8.3,21.9,44.5,55.5,35.8,56.1,25,10301
3.02,3.65,83.7,20.2,9,94.1,69.1,27.4,4.1,42.4,3.9,41.8,6.8,35.3,40.1,54170,70739,86.6,57.9,37.4,13.4,23.8,57.6,42.4,32.9,60.1,39.5,10302
2.97,3.4,81.6,23.5,9.6,92.4,69,27.1,8,41.8,4.2,45.3,7.7,39.6,46.7,52553,62834,88.9,56.9,38.1,11.1,25.5,57.9,42.1,32.9,37.2,35.1,10303
2.83,3.34,83,29.4,10,93.3,67.6,29.9,4.1,38.9,4.2,41.6,7.2,39.6,43.2,54106,82916,88.1,54.4,40.8,11.9,19.4,53.1,46.9,35.6,51.5,27.9,10304
2.74,3.35,87.6,32.5,11.4,94.3,62.9,33.9,5.3,47.6,4.2,40.5,7.1,34.8,40.7,72782,82951,91.2,66.3,33.4,8.8,12.3,65.7,34.3,39.5,76.4,15.7,10305
2.69,3.28,90.1,30.8,11.9,95,77.5,20.6,5,29.8,3.6,40.6,6.1,28.3,42.8,79686,95618,94.3,77,28.4,5.7,8.1,71.3,28.7,41.9,88.7,14,10306
2.95,3.45,92.9,33.2,7.8,96.4,89.2,10.3,3.4,14.5,4.4,38.5,7.1,19,43.5,76857,96729,93.6,75.9,26.3,6.4,6.3,77.6,22.4,38.6,93.1,6.7,10307
2.79,3.22,91.6,29.2,10.7,93.8,82.7,15.7,5.7,20.8,5.1,39,8.4,27.9,44.6,87174,98769,95.2,79.7,27,4.8,7.3,83.6,16.4,43.3,94.7,9.4,10308
2.96,3.39,90.8,31.8,7.7,94.1,83.3,16,2,23,3.1,40.1,5.1,24,43.4,87509,109210,95.2,78.1,24.3,4.8,9.5,79.1,20.9,39.1,91.1,11.4,10309
2.92,3.46,87,30.6,10.1,94.3,78.9,18.3,4.7,29.1,6.3,38.7,10.3,28.8,36.1,68080,84186,90.2,63.4,34.1,9.8,19.2,60.7,39.3,34.7,59.9,30.6,10310
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10311
2.88,3.25,92.3,33.8,8.5,95.4,84.3,14.5,1,20,3.9,40,6.5,22.8,45.2,84584,102797,96.3,80.1,26.9,3.7,6.5,83.7,16.3,41.5,91.6,9.3,10312
2.76,3.24,90.2,31,10.1,95.5,75.9,22.2,5.6,30.7,3.3,40.1,5.5,25.8,40.7,77331,93457,94,73.8,30.3,6,8.6,73.4,26.6,41.6,77.3,13.7,10314
2.65,3.59,65.4,17.2,16.6,92.1,62.3,31.2,8.8,62,8.1,45.3,14.9,69.5,40.2,26048,40836,86.1,34.8,58.2,13.9,35.8,12.7,87.3,32,12.1,58.6,10451
2.94,3.63,64.9,12.8,15.8,91.8,51.6,42.8,11.3,72.8,8.5,40.9,14.3,67,40,24790,36083,84.5,28.2,61.2,15.5,40.8,3.3,96.7,30.5,12.9,66.7,10452
2.93,3.57,66,13,16.2,89.5,53,41.5,12.7,71.6,8.3,40.5,14,65.6,41.7,23095,33354,84.2,29.4,62.9,15.8,42.8,3.5,96.5,30.9,9.8,68.8,10453
2.98,3.63,56.5,9,17.3,89.8,61.7,26.8,7.4,66.5,7.9,46.9,14.8,72.5,42.2,20210,31533,82,27.2,62.4,18,47.9,5.4,94.6,28.1,18.2,71.7,10454
2.88,3.65,54.6,10.1,15.1,86.7,58.6,31.8,10.3,73.2,7.8,44,13.9,68.8,41.7,23253,32854,83.3,26.6,61.5,16.7,42.3,7.4,92.6,30.6,12.1,74,10455
3.06,3.77,61.3,12.3,14.4,90.8,59.1,33.7,10.9,65.6,9,45,16.4,67.5,41.9,23956,35722,86.9,29.7,62.5,13.1,42,6.1,93.9,29.8,8.5,59.7,10456
2.99,3.76,61.2,12.3,13.9,87.6,55.7,37.7,13.1,70.3,9.3,43.6,16.5,66.3,42.9,24750,36604,85.6,28.6,62.9,14.4,40.3,6.5,93.5,29.6,12.1,65.4,10457
