"Median_Household_Income","Mean_Household_Income","ZCTA5"
50213,65714,"13617"
51157,63444,"13618"
53144,60306,"13619"
43889,57985,"13620"
37188,44285,"13621"
55123,65587,"13622"
78750,70972,"13623"
59559,70843,"13624"
49833,58749,"13625"
51471,60160,"13626"
45000,54378,"13628"
55750,63893,"13630"
67625,62775,"13633"
53995,65216,"13634"
34345,41696,"13635"
57000,59437,"13636"
51956,55941,"13637"
38750,35292,"13638"
48750,52849,"13639"
50536,86794,"13640"
NA,54620,"13641"
39383,53350,"13642"
NA,NA,"13643"
41696,51737,"13646"
99423,91820,"13647"
47031,55187,"13648"
56324,94285,"13650"
79545,128992,"13651"
44167,51836,"13652"
43490,52721,"13654"
31881,45781,"13655"
52949,61307,"13656"
56227,74660,"13658"
48646,58776,"13659"
41979,59350,"13660"
59063,68254,"13661"
41889,51413,"13662"
60313,66012,"13664"
60106,60813,"13665"
24844,52430,"13666"
39698,49150,"13667"
46356,57603,"13668"
42129,64197,"13669"
40313,52234,"13670"
48417,57020,"13672"
48589,56819,"13673"
NA,NA,"13674"
NA,NA,"13675"
50271,64757,"13676"
NA,NA,"13677"
NA,42242,"13678"
47988,59735,"13679"
33681,77456,"13680"
46125,57390,"13681"
65625,76401,"13682"
46250,61379,"13684"
56875,69430,"13685"
43693,52766,"13687"
40500,49541,"13690"
56793,80064,"13691"
59803,64004,"13692"
46875,65533,"13693"
70134,72356,"13694"
95156,77142,"13695"
NA,NA,"13696"
37212,71396,"13697"
45600,51800,"13730"
46842,64615,"13731"
77775,86658,"13732"
49859,63368,"13733"
58333,70080,"13734"
60500,63052,"13736"
50469,64456,"13739"
50938,75588,"13740"
52622,67617,"13743"
55395,62937,"13744"
51793,65672,"13746"
46570,59925,"13748"
37750,44082,"13750"
37917,44790,"13751"
43167,87411,"13752"
49693,68677,"13753"
44282,54599,"13754"
33393,44615,"13755"
46198,56411,"13756"
52056,67999,"13757"
52598,67698,"13760"
71071,59394,"13774"
47750,55400,"13775"
50625,64286,"13776"
53125,53948,"13777"
55410,64799,"13778"
47163,58809,"13780"
47292,56575,"13782"
39342,52855,"13783"
38125,33168,"13784"
51797,59739,"13786"
39634,53130,"13787"
51382,54829,"13788"
39803,53094,"13790"
84375,75942,"13794"
50299,76201,"13795"
51875,58625,"13796"
48533,59189,"13797"
36691,50312,"13801"
56071,79609,"13802"
55195,69174,"13803"
54432,61633,"13804"
62955,67485,"13806"
56136,75114,"13807"
48068,59973,"13808"
50069,59199,"13809"
34688,47557,"13810"
52500,79796,"13811"
48359,58372,"13812"
42768,51421,"13813"
44647,55982,"13815"
44614,59696,"13820"
50515,59359,"13825"
NA,NA,"13826"
59730,72107,"13827"
46742,56688,"13830"
33415,42803,"13832"
47399,59941,"13833"
NA,NA,"13834"
44750,60670,"13835"
34753,48069,"13838"
44000,45510,"13839"
43250,50725,"13841"
77778,73491,"13842"
44178,56051,"13843"
41750,51325,"13844"
NA,NA,"13845"
45625,54195,"13846"
NA,NA,"13847"
42226,57969,"13849"
61546,79395,"13850"
38086,48491,"13856"
63021,50718,"13859"
NA,NA,"13860"
NA,92300,"13861"
59963,67891,"13862"
56094,63254,"13863"
39057,55324,"13864"
60399,69355,"13865"
41921,55104,"13901"
NA,NA,"13902"
41556,61954,"13903"
41738,53999,"13904"
35046,49797,"13905"
54698,67580,"14001"
66089,74198,"14004"
59318,66768,"14005"
53642,66085,"14006"
55625,65206,"14008"
44464,54836,"14009"
60307,66277,"14011"
52045,64499,"14012"
48833,52170,"14013"
44864,56687,"14020"
59338,63668,"14024"
62073,76893,"14025"
79563,111963,"14026"
60625,70780,"14028"
56932,65821,"14030"
69530,104223,"14031"
99194,121807,"14032"
86708,95698,"14033"
55000,66285,"14034"
NA,177033,"14035"
55744,66113,"14036"
68056,64016,"14037"
48750,65533,"14039"
63214,69759,"14040"
47000,53573,"14041"
35156,45071,"14042"
51318,60286,"14043"
58148,61092,"14047"
40804,50051,"14048"
107500,129466,"14051"
75750,91791,"14052"
55375,61058,"14054"
63242,74566,"14055"
63497,72332,"14057"
67155,74068,"14058"
78322,89154,"14059"
NA,44972,"14060"
59545,59713,"14061"
50469,57561,"14062"
49596,64715,"14063"
42143,49079,"14065"
50455,57689,"14066"
48246,60800,"14067"
59262,87336,"14068"
41042,58429,"14069"
42575,54899,"14070"
78597,88725,"14072"
62963,76959,"14075"
61920,73090,"14080"
57019,63557,"14081"
44063,53608,"14082"
85536,96618,"14085"
77999,87974,"14086"
61304,68589,"14091"
67500,84511,"14092"
51787,64782,"14094"
54148,63365,"14098"
53125,62313,"14101"
95083,89402,"14102"
45235,52518,"14103"
62985,70847,"14105"
50352,67298,"14108"
NA,NA,"14109"
54940,66514,"14111"
NA,NA,"14112"
41359,59602,"14113"
56089,71312,"14120"
54022,64367,"14125"
55893,55846,"14126"
84798,111114,"14127"
43603,54794,"14129"
47679,50746,"14130"
68869,76622,"14131"
60595,71603,"14132"
83594,84919,"14134"
43250,40045,"14135"
43882,53401,"14136"
47803,54709,"14138"
71250,75961,"14139"
51194,63326,"14141"
54758,61879,"14143"
56333,64389,"14145"
51302,60837,"14150"
59306,65507,"14167"
NA,56200,"14168"
32407,43847,"14169"
68333,73778,"14170"
44495,57010,"14171"
56591,79410,"14172"
34598,40686,"14173"
66597,85245,"14174"
25551,38152,"14201"
42336,98254,"14202"
31892,44626,"14203"
26269,38074,"14204"
35662,44363,"14206"
24593,36337,"14207"
24036,34232,"14208"
31688,57757,"14209"
33821,44674,"14210"
23881,33560,"14211"
23438,32239,"14212"
28365,39579,"14213"
39433,57953,"14214"
31527,42370,"14215"
50781,64726,"14216"
50434,63195,"14217"
36628,47024,"14218"
48702,55834,"14219"
47088,57526,"14220"
77511,102765,"14221"
52066,72955,"14222"
59326,66694,"14223"
59875,68355,"14224"
47693,55121,"14225"
61930,80399,"14226"
48941,57777,"14227"
48343,70210,"14228"
NA,NA,"14261"
21413,31354,"14301"
NA,NA,"14302"
29916,39365,"14303"
50072,59745,"14304"
32211,46243,"14305"
41820,53051,"14411"
57273,68850,"14414"
37708,56661,"14415"
49583,59800,"14416"
59236,80698,"14418"
52232,63449,"14420"
63250,73827,"14422"
53116,63613,"14423"
53490,72268,"14424"
63354,72743,"14425"
51850,61276,"14427"
59292,75024,"14428"
52565,64699,"14432"
51250,57146,"14433"
60822,72680,"14435"
44244,59731,"14437"
50625,62016,"14441"
48094,56800,"14445"
76655,94647,"14450"
42323,62632,"14454"
45279,60364,"14456"
52019,64672,"14462"
57736,63122,"14464"
55987,68305,"14466"
74970,86789,"14467"
65810,77063,"14468"
60278,71887,"14469"
46856,63006,"14470"
62791,67995,"14471"
85049,121670,"14472"
84167,81815,"14475"
52386,61922,"14476"
54290,69902,"14477"
91250,86671,"14478"
NA,52266,"14479"
38015,48257,"14480"
52212,56261,"14481"
52929,64116,"14482"
48333,60683,"14485"
59615,73069,"14486"
65652,75660,"14487"
46060,52720,"14489"
67330,81898,"14502"
53144,55264,"14504"
58566,67259,"14505"
102989,109055,"14506"
58580,61914,"14507"
46063,48914,"14510"
45769,59511,"14511"
52534,65274,"14512"
37594,49935,"14513"
63155,75240,"14514"
56316,77146,"14516"
40685,50904,"14517"
59159,70721,"14519"
45945,60888,"14521"
46774,59075,"14522"
65625,67947,"14525"
81596,101876,"14526"
46943,62593,"14527"
NA,81523,"14529"
50513,61221,"14530"
53177,67574,"14532"
60156,68660,"14533"
104398,142330,"14534"
42438,48690,"14536"
67344,93966,"14537"
70156,77990,"14539"
56745,68443,"14541"
NA,53860,"14542"
81689,100030,"14543"
56580,69036,"14544"
56667,53319,"14545"
56974,68678,"14546"
55170,64409,"14548"
31944,48193,"14549"
54375,85986,"14550"
47561,54395,"14551"
49750,66719,"14555"
74260,85677,"14559"
54875,67252,"14560"
64535,81197,"14561"
86336,120647,"14564"
74938,83119,"14568"
46250,54970,"14569"
46900,61655,"14571"
41784,52371,"14572"
71899,85994,"14580"
42188,48980,"14585"
77188,76435,"14586"
83583,75296,"14588"
50167,71200,"14589"
44850,56442,"14590"
58170,67429,"14591"
83702,93133,"14592"
14270,25298,"14604"
18318,28895,"14605"
37542,49190,"14606"
41954,57494,"14607"
20047,31184,"14608"
41074,51548,"14609"
59046,86049,"14610"
24924,33511,"14611"
61349,73209,"14612"
28026,39373,"14613"
NA,29385,"14614"
36250,45973,"14615"
46143,57627,"14616"
60870,75160,"14617"
89688,121857,"14618"
36176,53138,"14619"
40483,52370,"14620"
24906,33967,"14621"
49257,61465,"14622"
47613,59042,"14623"
60443,70326,"14624"
72500,99226,"14625"
53212,68382,"14626"
NA,NA,"14627"
36552,48427,"14701"
50938,63065,"14706"
57500,61225,"14707"
57031,61392,"14708"
44107,53841,"14709"
52946,63763,"14710"
42361,45129,"14711"
48750,70069,"14712"
42500,50953,"14714"
39444,50259,"14715"
34597,47160,"14716"
40921,49591,"14717"
56689,60306,"14718"
45893,57183,"14719"
39875,42088,"14720"
NA,35664,"14721"
95917,94902,"14722"
48281,56281,"14723"
48036,67095,"14724"
34833,42416,"14726"
48859,65500,"14727"
47750,67951,"14728"
55469,67589,"14729"
61389,80124,"14731"
54167,52487,"14732"
41377,47391,"14733"
38059,46732,"14735"
42589,52952,"14736"
42835,50669,"14737"
47911,56601,"14738"
36541,44641,"14739"
51307,65704,"14740"
53333,62029,"14741"
78988,71280,"14742"
42222,49113,"14743"
50000,59686,"14744"
41702,54097,"14747"
35417,45143,"14748"
50881,72834,"14750"
NA,44236,"14752"
33500,44738,"14753"
43375,46838,"14754"
44063,52265,"14755"
NA,38516,"14756"
46504,71702,"14757"
39821,57117,"14760"
37174,49727,"14767"
37115,50015,"14769"
51319,63902,"14770"
39697,51238,"14772"
41875,53909,"14774"
41648,53201,"14775"
43177,52026,"14777"
NA,NA,"14778"
32126,40724,"14779"
42317,54441,"14781"
46433,53591,"14782"
31111,41764,"14783"
34844,44292,"14784"
45728,51693,"14787"
62188,56123,"14788"
43185,54831,"14801"
25156,46422,"14802"
47188,59757,"14803"
54333,67225,"14804"
55655,63718,"14805"
50662,58138,"14806"
51146,55937,"14807"
44120,55474,"14808"
42217,54471,"14809"
40793,49798,"14810"
58889,63405,"14812"
42059,52566,"14813"
62338,73421,"14814"
45000,69738,"14815"
49083,65299,"14816"
49931,66872,"14817"
53281,61709,"14818"
36375,52443,"14819"
42045,48408,"14820"
51210,62909,"14821"
36250,43261,"14822"
49360,54869,"14823"
43750,60853,"14824"
55804,63528,"14825"
40170,56160,"14826"
NA,40100,"14827"
53294,74722,"14830"
65625,67867,"14836"
45990,65789,"14837"
55057,60527,"14838"
52031,59144,"14839"
54500,73768,"14840"
78250,82370,"14841"
53278,65365,"14842"
40511,50426,"14843"
63377,79421,"14845"
46389,54499,"14846"
46406,60150,"14847"
48088,73311,"14850"
NA,NA,"14853"
NA,NA,"14854"
45329,57211,"14855"
NA,30780,"14856"
51023,62064,"14858"
50781,59430,"14859"
53500,61829,"14860"
49688,62472,"14861"
64468,67105,"14864"
37821,48436,"14865"
44306,57075,"14867"
49231,59411,"14869"
62813,81158,"14870"
62212,69404,"14871"
51958,63636,"14872"
46987,54940,"14873"
34028,45347,"14874"
51094,62732,"14877"
69318,85291,"14878"
47214,57372,"14879"
49922,56107,"14880"
NA,74216,"14881"
69097,105046,"14882"
51447,63245,"14883"
47500,58506,"14884"
47375,53940,"14885"
66450,77819,"14886"
49853,61359,"14889"
44104,55671,"14891"
50253,62662,"14892"
NA,NA,"14893"
39750,49612,"14894"
41102,53102,"14895"
45789,49306,"14897"
37941,47393,"14898"
26766,40473,"14901"
49267,68397,"14903"
38020,47555,"14904"
64178,95435,"14905"
