"Median_Household_Income","Mean_Household_Income","ZCTA5"
72409,87421,"11222"
43019,64964,"11223"
28006,50455,"11224"
44911,62860,"11225"
43399,58646,"11226"
64250,87560,"11228"
52168,71111,"11229"
41068,66632,"11230"
83310,128453,"11231"
44474,60019,"11232"
33745,50071,"11233"
71115,89848,"11234"
42818,68373,"11235"
58705,72543,"11236"
44950,62004,"11237"
70873,93918,"11238"
26186,34840,"11239"
NA,NA,"11351"
44741,62568,"11354"
39168,54472,"11355"
57194,75112,"11356"
73750,91915,"11357"
65258,83944,"11358"
NA,NA,"11359"
80235,97078,"11360"
79158,93310,"11361"
86758,99502,"11362"
89219,121953,"11363"
72477,88789,"11364"
59520,79166,"11365"
72486,93774,"11366"
56557,73718,"11367"
45004,55919,"11368"
52310,67171,"11369"
53427,75046,"11370"
NA,NA,"11371"
50485,63963,"11372"
47588,62616,"11373"
52132,70852,"11374"
72414,95909,"11375"
50436,64842,"11377"
57127,74249,"11378"
71551,83602,"11379"
55331,69571,"11385"
81149,93447,"11411"
72458,82631,"11412"
81287,92538,"11413"
68374,88917,"11414"
63756,80334,"11415"
58392,72849,"11416"
62057,79020,"11417"
61480,73486,"11418"
58266,73064,"11419"
59660,79434,"11420"
60996,78211,"11421"
84955,92702,"11422"
62179,80672,"11423"
NA,NA,"11424"
NA,NA,"11425"
77146,90998,"11426"
66007,83020,"11427"
67151,75806,"11428"
68684,82902,"11429"
NA,NA,"11430"
50702,70442,"11432"
42964,59055,"11433"
58076,70071,"11434"
52686,66645,"11435"
64005,78107,"11436"
NA,NA,"11451"
89347,104018,"11501"
111875,144899,"11507"
135750,203674,"11509"
93768,107779,"11510"
97692,118835,"11514"
95720,118179,"11516"
92901,119213,"11518"
72628,87628,"11520"
139821,186680,"11530"
68647,102049,"11542"
142219,223506,"11545"
115917,132867,"11547"
100893,134403,"11548"
NA,NA,"11549"
57003,72741,"11550"
97254,117036,"11552"
70201,88451,"11553"
94214,110726,"11554"
NA,NA,"11556"
120617,173871,"11557"
72292,94824,"11558"
115252,202563,"11559"
103594,185719,"11560"
89252,112980,"11561"
85194,108933,"11563"
110110,126793,"11565"
125992,150799,"11566"
172750,335450,"11568"
110398,139466,"11569"
107442,143135,"11570"
95750,113474,"11572"
65890,79235,"11575"
152910,211523,"11576"
116667,162838,"11577"
110696,147726,"11579"
90536,106077,"11580"
100787,120373,"11581"
89083,111891,"11590"
110575,138279,"11596"
129907,175167,"11598"
42023,55708,"11691"
42127,58512,"11692"
53281,64300,"11693"
75094,100077,"11694"
93333,109500,"11697"
73494,83672,"11701"
97294,120947,"11702"
88983,97439,"11703"
81072,94879,"11704"
98321,124413,"11705"
79086,93303,"11706"
101221,123671,"11709"
106204,126629,"11710"
71101,89542,"11713"
88750,109517,"11714"
108009,115783,"11715"
79968,92804,"11716"
70208,82589,"11717"
122692,159211,"11718"
91488,127591,"11719"
91224,105517,"11720"
106786,146749,"11721"
66570,76960,"11722"
200313,250678,"11724"
113613,129815,"11725"
69123,82613,"11726"
75408,89402,"11727"
83122,98880,"11729"
115402,130470,"11730"
99360,118137,"11731"
116125,156496,"11732"
129358,164421,"11733"
91156,104188,"11735"
94522,110357,"11738"
129464,159114,"11739"
89102,118116,"11740"
100133,116012,"11741"
86381,105948,"11742"
113750,164163,"11743"
99414,131392,"11746"
117288,166583,"11747"
87976,101948,"11749"
95191,117386,"11751"
100108,107963,"11752"
145947,200134,"11753"
100101,119594,"11754"
96654,113728,"11755"
100773,109731,"11756"
81330,93603,"11757"
104128,124850,"11758"
112083,123281,"11762"
85450,95896,"11763"
109153,127017,"11764"
137500,315142,"11765"
111397,129221,"11766"
119319,133087,"11767"
117023,150756,"11768"
86000,105568,"11769"
148750,146056,"11770"
118264,202010,"11771"
68077,82362,"11772"
92280,105650,"11776"
112660,145072,"11777"
90658,100827,"11778"
85972,95679,"11779"
107170,145996,"11780"
110869,128903,"11782"
105915,122222,"11783"
89699,93273,"11784"
121875,136323,"11786"
111961,129847,"11787"
105019,117103,"11788"
87955,101588,"11789"
134536,156905,"11790"
151627,209146,"11791"
120997,133224,"11792"
113481,137839,"11793"
NA,NA,"11794"
110815,124830,"11795"
104236,118922,"11796"
157216,233281,"11797"
70343,84621,"11798"
93759,112040,"11801"
126536,146607,"11803"
118900,145005,"11804"
55450,74287,"11901"
86083,129155,"11930"
NA,NA,"11931"
70461,126195,"11932"
59605,85860,"11933"
90080,111827,"11934"
86125,107378,"11935"
84847,136967,"11937"
72500,90271,"11939"
96607,115880,"11940"
102135,106482,"11941"
88784,113924,"11942"
56029,82529,"11944"
75670,94292,"11946"
NA,56414,"11947"
103112,129135,"11948"
105279,112353,"11949"
71088,78660,"11950"
63043,74095,"11951"
74313,103499,"11952"
70829,80561,"11953"
72903,93491,"11954"
61667,81713,"11955"
NA,89750,"11956"
75375,95914,"11957"
65288,152033,"11958"
85125,126459,"11959"
103151,104623,"11960"
56236,76035,"11961"
209125,247372,"11962"
86111,142997,"11963"
79091,132813,"11964"
101771,136538,"11965"
82682,88970,"11967"
82024,136625,"11968"
NA,122136,"11970"
89074,120836,"11971"
104444,126131,"11972"
NA,NA,"11973"
79250,107635,"11975"
115547,186467,"11976"
97045,123793,"11977"
83203,126990,"11978"
90313,103092,"11980"
NA,NA,"12007"
93250,98016,"12008"
89605,99866,"12009"
44711,59105,"12010"
58533,70250,"12015"
62917,80173,"12017"
81205,101640,"12018"
88059,103850,"12019"
73712,83911,"12020"
51719,64406,"12022"
61488,74058,"12023"
NA,NA,"12024"
58923,70108,"12025"
86656,102797,"12027"
81923,100295,"12028"
79000,97324,"12029"
49167,52900,"12031"
47130,63213,"12032"
69733,101151,"12033"
37647,57513,"12035"
36875,41922,"12036"
61188,80172,"12037"
39063,48940,"12040"
68571,72855,"12041"
NA,56232,"12042"
49869,63214,"12043"
41250,44240,"12045"
80129,84054,"12046"
51313,63862,"12047"
58664,81524,"12051"
66012,80915,"12052"
80082,90820,"12053"
96813,117243,"12054"
95714,96471,"12056"
46797,59070,"12057"
65000,72412,"12058"
76250,97467,"12059"
70278,94257,"12060"
85043,102205,"12061"
63258,74517,"12062"
155658,184174,"12063"
60119,49910,"12064"
81192,98347,"12065"
58672,68032,"12066"
66875,87422,"12067"
52473,66287,"12068"
NA,57138,"12069"
61250,72658,"12070"
51563,70327,"12071"
45000,53816,"12072"
68690,78896,"12074"
60544,69141,"12075"
58478,64802,"12076"
95135,109914,"12077"
39810,51191,"12078"
66250,79809,"12083"
68080,85146,"12084"
41985,48384,"12085"
60417,70748,"12086"
69531,64559,"12087"
64375,NA,"12089"
57181,61197,"12090"
41500,56805,"12092"
50900,58557,"12093"
74625,76107,"12094"
48142,63431,"12095"
72417,101870,"12106"
64750,72540,"12108"
73997,91520,"12110"
67083,162483,"12115"
46458,55834,"12116"
54420,59109,"12117"
63750,76454,"12118"
56250,77063,"12120"
67243,73432,"12121"
44738,55999,"12122"
70331,78682,"12123"
108977,109666,"12124"
51741,68078,"12125"
89750,93078,"12130"
58750,60896,"12131"
61150,52694,"12132"
53214,62740,"12134"
89276,123882,"12136"
61563,69064,"12137"
61296,68656,"12138"
50625,69144,"12139"
82564,84635,"12140"
49803,65996,"12143"
63286,77408,"12144"
63000,74037,"12147"
101307,113825,"12148"
51000,59918,"12149"
64286,68392,"12150"
72321,87573,"12151"
87393,102187,"12153"
66579,78182,"12154"
51304,54291,"12155"
78170,89337,"12156"
53929,69531,"12157"
81006,90419,"12158"
87927,133975,"12159"
58333,64751,"12160"
NA,NA,"12161"
58125,70971,"12164"
105833,95192,"12165"
43646,57910,"12166"
46875,60987,"12167"
60417,71752,"12168"
50938,67355,"12169"
66450,78466,"12170"
46806,46930,"12172"
68857,76351,"12173"
57917,71138,"12174"
48456,58949,"12175"
75760,72061,"12176"
70250,79172,"12177"
49283,64548,"12180"
40327,55328,"12182"
55000,60152,"12183"
77500,98434,"12184"
72400,87087,"12185"
86648,100867,"12186"
49464,60619,"12187"
62439,82547,"12188"
49157,62416,"12189"
43000,53808,"12190"
63462,85863,"12192"
76786,87103,"12193"
61250,58779,"12194"
NA,51013,"12195"
92500,103636,"12196"
44250,58061,"12197"
82899,94233,"12198"
25952,38722,"12202"
51842,68303,"12203"
49408,66868,"12204"
